Compound_ID,Canonical_SMILES,InChIKey,logP_median,logP_uncertainty,n_measurements,logP_min,logP_max,Tier,TPSA,MW,Coumarin_Type,Cluster_ID,Murcko_scaffold_ID,is_OOD,external_role,Murcko_scaffold_SMILES_v2,Murcko_scaffold_ID_v2
CMR_GOLD_088,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C)/NCC3=CC(OC)=C(OC)C(OC)=C3,WPFAQRZSQMMOKE-LDADJPATSA-N,1.498,,1,1.498,1.498,EXTENDED,83.09,383.4,conjugated_coumarin,,,False,EXT_A,O=C1Oc2ccccc2C(=O)/C1=C\NCc1ccccc1,baaa3f91c22f549a
CMR_GOLD_089,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C)/NCC3=CC=C(OC)C(OC)=C3,TYRFIHOXVUULAR-LDADJPATSA-N,1.503,,1,1.503,1.503,EXTENDED,73.86,353.37,conjugated_coumarin,,,False,EXT_A,O=C1Oc2ccccc2C(=O)/C1=C\NCc1ccccc1,baaa3f91c22f549a
CMR_GOLD_090,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C)/NCC3=CC=C(OC)C=C3OC,WBMIHEQWXYZIBK-LDADJPATSA-N,2.152,,1,2.152,2.152,EXTENDED,73.86,353.37,conjugated_coumarin,,,False,EXT_A,O=C1Oc2ccccc2C(=O)/C1=C\NCc1ccccc1,baaa3f91c22f549a
CMR_GOLD_091,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C3=CC=CC=C3)/NCC4=CC(OC)=C(OC)C(OC)=C4,HASSFNNCXHJZIZ-GHVJWSGMSA-N,1.718,,1,1.718,1.718,EXTENDED,83.09,445.47,conjugated_coumarin,,,False,EXT_A,O=C1Oc2ccccc2C(=O)/C1=C(\NCc1ccccc1)c1ccccc1,471f999eb60e9445
CMR_GOLD_092,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C3=CC=CC=C3)/NCC4=CC=C(OC)C(OC)=C4,QLEWKLVYCGNEAF-GHVJWSGMSA-N,1.779,,1,1.779,1.779,EXTENDED,73.86,415.45,conjugated_coumarin,,,False,EXT_A,O=C1Oc2ccccc2C(=O)/C1=C(\NCc1ccccc1)c1ccccc1,471f999eb60e9445
CMR_GOLD_093,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C3=CC=CC=C3)/NCC4=C(OC)C=C(OC)C=C4,UMPBBOVNGFYDCS-GHVJWSGMSA-N,2.288,,1,2.288,2.288,EXTENDED,73.86,415.45,conjugated_coumarin,,,False,EXT_A,O=C1Oc2ccccc2C(=O)/C1=C(\NCc1ccccc1)c1ccccc1,471f999eb60e9445
CMR_GOLD_094,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C/NCC3=CC(OC)=C(OC)C(OC)=C3,FEXCHNYIVORQGJ-SDNWHVSQSA-N,1.295,,1,1.295,1.295,EXTENDED,83.09,369.37,conjugated_coumarin,,,False,EXT_A,O=C1Oc2ccccc2C(=O)/C1=C\NCc1ccccc1,baaa3f91c22f549a
CMR_GOLD_095,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C/NCC3=CC(OC)=C(OC)C=C3,RYTZCAFGPDQCBU-SDNWHVSQSA-N,2.454,,1,2.454,2.454,EXTENDED,73.86,339.35,conjugated_coumarin,,,False,EXT_A,O=C1Oc2ccccc2C(=O)/C1=C\NCc1ccccc1,baaa3f91c22f549a
CMR_GOLD_096,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C/NCC3=CC=C(OC)C=C3OC,KOOKZGYZWLFFTE-RVDMUPIBSA-N,1.443,,1,1.443,1.443,EXTENDED,73.86,339.35,conjugated_coumarin,,,False,EXT_A,O=C1Oc2ccccc2C(=O)/C1=C\NCc1ccccc1,baaa3f91c22f549a
CMR_GOLD_063,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=CC=C5,BADQJYVMAGUTKZ-UHFFFAOYSA-N,1.412,,1,1.412,1.412,EXTENDED,72.27,440.29,triazolo_thiadiazinyl_coumarin,,,False,EXT_B,O=c1oc2ccccc2cc1C1=NN2C(=N[N]C2c2ccccc2)SC1,47bd48b2765d5c36
