Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,COc1ccccc1C(c1c(=O)oc2c(c1O)cccc2)c1c(=O)oc2c(c1O)cccc2,C26H18O7,442.42,33,26,0.08,4,7,2,123.00,110.11,3.09,3.16,4.50,2.81,5.14,3.74,-4.89,5.66e-03,1.28e-05,Moderately soluble,-5.14,3.19e-03,7.20e-06,Moderately soluble,-8.77,7.55e-07,1.71e-09,Poorly soluble,High,No,Yes,No,No,Yes,No,No,-6.76,0,0,0,0,0,0.55,0,1,1,3.75
Molecule 2,OC[C@H]1OC([C@H]([C@H]1O)O)n1c(SCc2cc3cc(C)ccc3oc2=O)nc2c1nc(N)nc2SCc1cc2cc(C)ccc2oc1=O,C32H29N5O8S2,675.73,47,29,0.28,8,11,4,177.11,250.56,4.02,3.50,2.81,1.81,3.54,3.14,-6.16,4.64e-04,6.87e-07,Poorly soluble,-8.44,2.43e-06,3.59e-09,Poorly soluble,-8.45,2.40e-06,3.56e-09,Poorly soluble,Low,No,Yes,No,No,No,No,No,-7.94,2,3,1,1,3,0.17,0,1,2,6.01
Molecule 3,COc1ccc2c(c1)cc(c(=O)o2)CSc1nc2c(n1C1O[C@@H]([C@@H]([C@@H]1O)O)CO)nc(nc2SCc1cc2cc(OC)ccc2oc1=O)N,C32H29N5O10S2,707.73,49,29,0.28,10,13,4,180.16,269.02,2.74,2.71,2.21,0.87,2.64,2.23,-5.71,1.37e-03,1.94e-06,Moderately soluble,-8.01,6.87e-06,9.71e-09,Poorly soluble,-7.88,9.27e-06,1.31e-08,Poorly soluble,Low,No,Yes,No,No,No,No,No,-8.69,2,3,1,1,3,0.17,0,1,2,6.04
Molecule 4,OC[C@H]1OC([C@H]([C@H]1O)O)n1c(SCc2cc3cccc(c3oc2=O)OC)nc2c1nc(N)nc2SCc1cc2cccc(c2oc1=O)OC,C32H29N5O10S2,707.73,49,29,0.28,10,13,4,180.16,269.02,3.11,2.71,2.21,0.87,2.64,2.31,-5.71,1.37e-03,1.94e-06,Moderately soluble,-8.01,6.87e-06,9.71e-09,Poorly soluble,-7.88,9.27e-06,1.31e-08,Poorly soluble,Low,No,Yes,No,No,No,No,No,-8.69,2,3,1,1,3,0.17,0,1,2,6.07
Molecule 5,OC[C@H]1OC([C@H]([C@H]1O)O)n1c(Sc2ccccc2)nc2c1nc(N)nc2SCc1cc2cc(OC)ccc2oc1=O,C27H25N5O7S2,595.65,41,25,0.26,8,10,4,151.98,229.58,2.97,2.80,2.11,1.28,1.69,2.17,-5.22,3.59e-03,6.02e-06,Moderately soluble,-7.28,3.14e-05,5.27e-08,Poorly soluble,-6.29,3.02e-04,5.07e-07,Poorly soluble,Low,No,No,No,No,No,No,No,-7.95,2,2,1,1,1,0.17,0,1,2,5.57
Molecule 6,OC[C@H]1OC([C@H]([C@H]1O)O)n1c(SC#CC#CC#CC#CC#C)nc2c1nc(N)nc2SCc1cc2cc(OC)ccc2oc1=O.[H][H].[H][H].[H][H],C31H21N5O7S2,645.71,45,19,0.23,7,10,4,167.21,229.58,0.00,3.20,1.76,1.66,2.88,1.90,-5.71,1.26e-03,1.95e-06,Moderately soluble,-7.69,1.31e-05,2.03e-08,Poorly soluble,-4.13,4.75e-02,7.36e-05,Moderately soluble,Low,No,No,No,No,Yes,No,No,-7.97,2,3,1,1,2,0.17,0,2,1,5.90
Molecule 7,O=c1cc(CSc2nc(Nc3ccccc3)c3c(n2)cccc3)c2c(o1)ccc(c2)C(C)(C)C,C28H25N3O2S,467.58,34,26,0.18,6,4,1,140.60,93.32,4.13,6.96,6.92,5.16,6.47,5.93,-7.29,2.38e-05,5.09e-08,Poorly soluble,-8.73,8.64e-07,1.85e-09,Poorly soluble,-11.21,2.88e-09,6.17e-12,Insoluble,Low,No,No,No,Yes,No,No,Yes,-4.21,1,2,0,1,1,0.55,0,1,2,3.89
Molecule 8,O=c1cc(CSc2nc(Nc3cccc(c3C)C)c3c(n2)cccc3)c2c(o1)ccc(c2)C(C)(C)C,C30H29N3O2S,495.64,36,26,0.23,6,4,1,150.53,93.32,4.54,7.69,7.53,5.55,7.54,6.57,-7.90,6.30e-06,1.27e-08,Poorly soluble,-9.49,1.60e-07,3.23e-10,Poorly soluble,-11.95,5.51e-10,1.11e-12,Insoluble,Low,No,Yes,No,Yes,No,Yes,Yes,-3.86,1,3,0,1,1,0.55,0,1,2,4.15
Molecule 9,Cc1ccc(c(c1)C)Nc1nc(SCc2cc(=O)oc3c2cc(cc3)C(C)(C)C)nc2c1cccc2,C30H29N3O2S,495.64,36,26,0.23,6,4,1,150.53,93.32,4.66,7.69,7.53,5.55,7.54,6.59,-7.90,6.30e-06,1.27e-08,Poorly soluble,-9.49,1.60e-07,3.23e-10,Poorly soluble,-11.95,5.51e-10,1.11e-12,Insoluble,Low,No,Yes,No,Yes,No,No,Yes,-3.86,1,3,0,1,1,0.55,0,1,2,4.12
Molecule 10,COc1ccccc1Nc1nc(SCc2cc(=O)oc3c2cc(cc3)C(C)(C)C)nc2c1cccc2,C29H27N3O3S,497.61,36,26,0.21,7,5,1,147.09,102.55,4.79,6.94,6.93,4.81,6.54,6.00,-7.37,2.12e-05,4.27e-08,Poorly soluble,-8.91,6.17e-07,1.24e-09,Poorly soluble,-11.30,2.47e-09,4.95e-12,Insoluble,Low,No,No,No,Yes,No,Yes,Yes,-4.41,1,3,0,1,1,0.55,0,1,2,3.98
