split_strategy,feature_set,model_name,n,rmse,mae,r2,ccc
RandomKFold,ECFP,KRR_Tanimoto,69,0.6462707409754638,0.45649421356739733,0.7017985672797991,0.8133322846506714
RandomKFold,Hybrid,Ridge,69,0.6632556053007793,0.4527692825588846,0.6859183273550831,0.8070670769852047
RandomKFold,PhysChem,Ridge,69,1.033711262232145,0.7932901483117188,0.2370795909081851,0.4649085153702712
RandomKFold,Hybrid,XGB,69,0.6469823758518234,0.4503055403661037,0.7011414823677022,0.8204409099440634
RandomKFold,ECFP,XGB,69,0.6956137677814622,0.44996310992379124,0.6545246421639661,0.8046300961424727
RandomKFold,PhysChem,XGB,69,1.090212781859048,0.8075343651147748,0.15139951412181896,0.483034805431096
ScaffoldGroupKFold,ECFP,KRR_Tanimoto,69,0.8487697275273056,0.6466165725593046,0.48564792034427406,0.6371571974317815
ScaffoldGroupKFold,Hybrid,Ridge,69,0.7896937216981851,0.5476837812945724,0.5547559672625442,0.6900248467209711
ScaffoldGroupKFold,PhysChem,Ridge,69,1.3103417894882434,1.0425521426876696,-0.22588553544679035,0.2173965200599491
ScaffoldGroupKFold,ECFP,XGB,69,0.8338260480792702,0.6223654649582463,0.5036001367343774,0.6976312128896709
ScaffoldGroupKFold,Hybrid,XGB,69,0.8668422126634117,0.6602509653927624,0.4635109759824083,0.6363270173371041
ScaffoldGroupKFold,PhysChem,XGB,69,1.249955249637056,0.8731708754470382,-0.11550023695166023,0.28960590488754495
