ScaffoldCode,Compound_ID,Canonical_SMILES,scaffold_smiles,logP_median,TPSA,external_role,Tier
S1,CMR_GOLD_018,O=C1OC2=C(C=C(Br)C=C2)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=CC=C5)=N4)=N3,O=c1oc2ccccc2cc1-c1csc(-n2ccc(-c3ccccc3)n2)n1,3.304,77.99,NONE,GOLD
S1,CMR_GOLD_019,O=C1OC2=C(C=C(Br)C=C2Br)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=CC=C5)=N4)=N3,O=c1oc2ccccc2cc1-c1csc(-n2ccc(-c3ccccc3)n2)n1,3.112,77.99,NONE,GOLD
S1,CMR_GOLD_021,O=C1OC2=C(C=C(Cl)C=C2)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(Cl)C=C5)=N4)=N3,O=c1oc2ccccc2cc1-c1csc(-n2ccc(-c3ccccc3)n2)n1,3.059,77.99,NONE,GOLD
S1,CMR_GOLD_022,O=C1OC2=C(C=C(Cl)C=C2Cl)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(Cl)C=C5)=N4)=N3,O=c1oc2ccccc2cc1-c1csc(-n2ccc(-c3ccccc3)n2)n1,3.002,77.99,NONE,GOLD
S1,CMR_GOLD_023,O=C1OC2=C(C=C(Br)C=C2)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(Cl)C=C5)=N4)=N3,O=c1oc2ccccc2cc1-c1csc(-n2ccc(-c3ccccc3)n2)n1,3.067,77.99,NONE,GOLD
S1,CMR_GOLD_024,O=C1OC2=C(C=C(Cl)C=C2Cl)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(C)C=C5)=N4)=N3,O=c1oc2ccccc2cc1-c1csc(-n2ccc(-c3ccccc3)n2)n1,3.602,77.99,NONE,GOLD
S1,CMR_GOLD_025,O=C1OC2=C(C=C(Br)C=C2Br)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(C)C=C5)=N4)=N3,O=c1oc2ccccc2cc1-c1csc(-n2ccc(-c3ccccc3)n2)n1,3.336,77.99,NONE,GOLD
S10,CMR_GOLD_002,O=C1C(CSC2=NC(N)=NC3=C2N=C(SCC4=CC5=C(C=CC(C)=C5)OC4=O)N3C6[C@@H](O)[C@@H](O)[C@@H](CO)O6)=CC7=C(C=CC(C)=C7)O1,O=c1oc2ccccc2cc1CSc1ncnc2c1nc(SCc1cc3ccccc3oc1=O)n2C1CCCO1,3.22,199.96,OOD,STRICT
S10,CMR_GOLD_003,O=C1C(CSC2=NC(N)=NC3=C2N=C(SCC4=CC5=C(C=CC(OC)=C5)OC4=O)N3C6[C@@H](O)[C@@H](O)[C@@H](CO)O6)=CC7=C(C=CC(OC)=C7)O1,O=c1oc2ccccc2cc1CSc1ncnc2c1nc(SCc1cc3ccccc3oc1=O)n2C1CCCO1,3.01,218.42,OOD,STRICT
S10,CMR_GOLD_004,O=C1C(CSC2=NC(N)=NC3=C2N=C(SCC4=CC5=C(C(OC)=CC=C5)OC4=O)N3C6[C@@H](O)[C@@H](O)[C@@H](CO)O6)=CC7=C(C(OC)=CC=C7)O1,O=c1oc2ccccc2cc1CSc1ncnc2c1nc(SCc1cc3ccccc3oc1=O)n2C1CCCO1,2.97,218.42,OOD,STRICT
S2,CMR_GOLD_063,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=CC=C5,O=c1oc2ccccc2cc1C1=NN2C(=N[N]C2c2ccccc2)SC1,1.412,72.27,EXT_B,EXTENDED
S2,CMR_GOLD_064,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC(Br)=CC=C5,O=c1oc2ccccc2cc1C1=NN2C(=N[N]C2c2ccccc2)SC1,1.63,72.27,EXT_B,EXTENDED
S2,CMR_GOLD_065,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(Br)C=C5,O=c1oc2ccccc2cc1C1=NN2C(=N[N]C2c2ccccc2)SC1,1.58,72.27,EXT_B,EXTENDED
S2,CMR_GOLD_066,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=C(O)C=CC=C5,O=c1oc2ccccc2cc1C1=NN2C(=N[N]C2c2ccccc2)SC1,0.826,92.5,EXT_B,EXTENDED
S2,CMR_GOLD_067,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(O)C=C5,O=c1oc2ccccc2cc1C1=NN2C(=N[N]C2c2ccccc2)SC1,0.645,92.5,EXT_B,EXTENDED
S2,CMR_GOLD_068,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(Cl)C=C5,O=c1oc2ccccc2cc1C1=NN2C(=N[N]C2c2ccccc2)SC1,1.501,72.27,EXT_B,EXTENDED
S2,CMR_GOLD_069,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(C)C=C5,O=c1oc2ccccc2cc1C1=NN2C(=N[N]C2c2ccccc2)SC1,1.806,72.27,EXT_B,EXTENDED
S3,CMR_GOLD_088,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C)/NCC3=CC(OC)=C(OC)C(OC)=C3,O=C1Oc2ccccc2C(=O)/C1=C\NCc1ccccc1,1.498,83.09,EXT_A,EXTENDED
S3,CMR_GOLD_089,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C)/NCC3=CC=C(OC)C(OC)=C3,O=C1Oc2ccccc2C(=O)/C1=C\NCc1ccccc1,1.503,73.86,EXT_A,EXTENDED
S3,CMR_GOLD_090,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C)/NCC3=CC=C(OC)C=C3OC,O=C1Oc2ccccc2C(=O)/C1=C\NCc1ccccc1,2.152,73.86,EXT_A,EXTENDED
