ScaffoldCode,GlobalRank,scaffold_smiles,Count,Representative_Compound_ID,Representative_SMILES
S1,1,O=c1oc2ccccc2cc1-c1csc(-n2ccc(-c3ccccc3)n2)n1,7,CMR_GOLD_018,O=C1OC2=C(C=C(Br)C=C2)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=CC=C5)=N4)=N3
S2,2,O=c1oc2ccccc2cc1C1=NN2C(=N[N]C2c2ccccc2)SC1,7,CMR_GOLD_063,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=CC=C5
S3,3,O=C1Oc2ccccc2C(=O)/C1=C\NCc1ccccc1,6,CMR_GOLD_088,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C)/NCC3=CC(OC)=C(OC)C(OC)=C3
S4,4,O=c1cc(CSc2nc(Nc3ccccc3)c3ccccc3n2)c2ccccc2o1,4,CMR_GOLD_007,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=CC=C4)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1
S5,5,O=c1ccc2cc3ccoc3cc2o1,4,CMR_GOLD_059,O=C1C=CC2=C(C=C3C(C=CO3)=C2)O1
S6,6,O=c1ccc2ccccc2o1,4,CMR_GOLD_012,O=C1OC2=C(C=CC=C2)C(O)=C1
S7,7,O=C(NCc1cn(-c2cc3ccccc3oc2=O)nn1)c1ccccc1,3,CMR_GOLD_078,O=C(NCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4
S8,8,O=C(OCc1cn(-c2cc3ccccc3oc2=O)nn1)c1ccccc1,3,CMR_GOLD_083,O=C(OCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4
S9,9,O=C1Oc2ccccc2C(=O)/C1=C(\NCc1ccccc1)c1ccccc1,3,CMR_GOLD_091,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C3=CC=CC=C3)/NCC4=CC(OC)=C(OC)C(OC)=C4
S10,10,O=c1oc2ccccc2cc1CSc1ncnc2c1nc(SCc1cc3ccccc3oc1=O)n2C1CCCO1,3,CMR_GOLD_002,O=C1C(CSC2=NC(N)=NC3=C2N=C(SCC4=CC5=C(C=CC(C)=C5)OC4=O)N3C6[C@@H](O)[C@@H](O)[C@@H](CO)O6)=CC7=C(C=CC(C)=C7)O1
