model,perm_i,is_real,RMSE,MAE,CCC
Hybrid-XGB (ECFP2048 r=2 + PhysChem),0,True,0.8253255763813561,0.6395985521849956,0.6391594894330583
Hybrid-XGB (ECFP2048 r=2 + PhysChem),1,False,1.6598731052289064,1.3433455510316838,-0.3034108281564246
Hybrid-XGB (ECFP2048 r=2 + PhysChem),2,False,1.2780846613742969,1.0459451081802162,0.1863453634245303
Hybrid-XGB (ECFP2048 r=2 + PhysChem),3,False,1.2352358795650633,0.9866070998076817,0.22863598175702343
Hybrid-XGB (ECFP2048 r=2 + PhysChem),4,False,1.3500816578968668,1.111807061634247,0.17319478598287769
Hybrid-XGB (ECFP2048 r=2 + PhysChem),5,False,1.414962753591852,1.201067126550989,0.015923312779367545
Hybrid-XGB (ECFP2048 r=2 + PhysChem),6,False,1.7563078096601508,1.453629947588005,-0.15314670525993834
Hybrid-XGB (ECFP2048 r=2 + PhysChem),7,False,1.6031800890779386,1.2579393304250004,-0.25854267629507294
Hybrid-XGB (ECFP2048 r=2 + PhysChem),8,False,1.4506369737508453,1.1860306572926176,0.08884304441231547
Hybrid-XGB (ECFP2048 r=2 + PhysChem),9,False,1.5314828662966027,1.1830106612391,-0.0661558697870562
Hybrid-XGB (ECFP2048 r=2 + PhysChem),10,False,1.3430051286527522,1.1271022071085395,0.10105807827384468
Hybrid-XGB (ECFP2048 r=2 + PhysChem),11,False,1.4696118464423071,1.1822134959348216,-0.041975200872025574
Hybrid-XGB (ECFP2048 r=2 + PhysChem),12,False,1.2996807718324457,1.05516366571505,0.17908260759336367
Hybrid-XGB (ECFP2048 r=2 + PhysChem),13,False,1.4304679842014136,1.1324629008195164,0.02767625429667404
Hybrid-XGB (ECFP2048 r=2 + PhysChem),14,False,1.5830048819610452,1.2385303412501105,-0.09949448900258627
Hybrid-XGB (ECFP2048 r=2 + PhysChem),15,False,1.3352173852657265,1.1185179925811948,0.11027362594996808
Hybrid-XGB (ECFP2048 r=2 + PhysChem),16,False,1.713817185516266,1.389288000720438,-0.21414964586200363
Hybrid-XGB (ECFP2048 r=2 + PhysChem),17,False,1.3803485350668372,1.0301251725284346,0.04959991544044458
Hybrid-XGB (ECFP2048 r=2 + PhysChem),18,False,1.2305414391536913,0.9865144276150242,0.1826082421736761
Hybrid-XGB (ECFP2048 r=2 + PhysChem),19,False,1.4915720278474796,1.1866640894819356,0.0065324465043919535
Hybrid-XGB (ECFP2048 r=2 + PhysChem),20,False,1.417147858830291,1.1454617228848856,-0.11329020001208882
Hybrid-XGB (ECFP2048 r=2 + PhysChem),21,False,1.4067408915713104,1.0101166186428594,-0.008471401435272485
Hybrid-XGB (ECFP2048 r=2 + PhysChem),22,False,1.4311746852650582,1.1483427972134916,0.06101539057174021
Hybrid-XGB (ECFP2048 r=2 + PhysChem),23,False,1.286194554744712,1.0066200868018904,0.17425999328992323
Hybrid-XGB (ECFP2048 r=2 + PhysChem),24,False,1.3024765471856572,1.079575660660293,0.17156898103400772
Hybrid-XGB (ECFP2048 r=2 + PhysChem),25,False,1.5114009363742171,1.2251022957989934,-0.06635127243540657
Hybrid-XGB (ECFP2048 r=2 + PhysChem),26,False,1.183464752585213,0.8991475426206353,0.31374285617370934
Hybrid-XGB (ECFP2048 r=2 + PhysChem),27,False,1.5376058869693405,1.1782853858888018,-0.09766309789371908
Hybrid-XGB (ECFP2048 r=2 + PhysChem),28,False,1.5947849312447246,1.287893676613019,-0.08628314675617199
Hybrid-XGB (ECFP2048 r=2 + PhysChem),29,False,1.510735961511258,1.2571893081081307,-0.07187469291704454
Hybrid-XGB (ECFP2048 r=2 + PhysChem),30,False,1.4057670348102698,1.1860934389342843,0.06995967967832847
Hybrid-XGB (ECFP2048 r=2 + PhysChem),31,False,1.3045850113412,1.0794436443133932,0.15342840852635087
Hybrid-XGB (ECFP2048 r=2 + PhysChem),32,False,1.222017246759202,0.9793735292267275,0.1553784663142852
Hybrid-XGB (ECFP2048 r=2 + PhysChem),33,False,1.5262124187067252,1.1483923246614682,-0.006009219793138116
Hybrid-XGB (ECFP2048 r=2 + PhysChem),34,False,1.7796139272938674,1.4661284055330728,-0.1288015674403744
Hybrid-XGB (ECFP2048 r=2 + PhysChem),35,False,1.4852872233541716,1.2023687727905106,0.06251605131534724
Hybrid-XGB (ECFP2048 r=2 + PhysChem),36,False,1.253251560790186,1.0116635122682236,0.2217132406672635
Hybrid-XGB (ECFP2048 r=2 + PhysChem),37,False,1.537826281657781,1.2071799508117975,-0.036780221136777626
Hybrid-XGB (ECFP2048 r=2 + PhysChem),38,False,1.7181289882155895,1.3693081297594374,-0.2561949448204667
Hybrid-XGB (ECFP2048 r=2 + PhysChem),39,False,1.4821035723867229,1.2141250955725895,-0.002756543396027142
Hybrid-XGB (ECFP2048 r=2 + PhysChem),40,False,1.4904977760251892,1.1382119284026437,0.11195127566736614
Hybrid-XGB (ECFP2048 r=2 + PhysChem),41,False,1.376274767080004,1.1231989106455478,0.0037117631126711405
Hybrid-XGB (ECFP2048 r=2 + PhysChem),42,False,1.1963149845499153,0.9361647910553283,0.24170374279994133
Hybrid-XGB (ECFP2048 r=2 + PhysChem),43,False,1.4497304865070553,1.194052232589394,-0.07453817657472254
Hybrid-XGB (ECFP2048 r=2 + PhysChem),44,False,1.7906221816716752,1.4562584746415275,-0.1465788740431267
Hybrid-XGB (ECFP2048 r=2 + PhysChem),45,False,1.6429715180640674,1.3325732845308234,-0.0599630907497245
Hybrid-XGB (ECFP2048 r=2 + PhysChem),46,False,1.4190789258591483,1.1266903413170248,-0.0093262904569266
Hybrid-XGB (ECFP2048 r=2 + PhysChem),47,False,1.5004528055556685,1.2001359384375876,-0.023859591498222577
Hybrid-XGB (ECFP2048 r=2 + PhysChem),48,False,1.3513491075626074,1.0730496583466214,0.09482551741128498
Hybrid-XGB (ECFP2048 r=2 + PhysChem),49,False,1.501818466160571,1.1769961683425536,-0.026731704007782953
Hybrid-XGB (ECFP2048 r=2 + PhysChem),50,False,1.4386955863571875,1.1922370520861856,-0.036358768919909024
Hybrid-XGB (ECFP2048 r=2 + PhysChem),51,False,1.4200529105662627,1.1808254509286042,0.05243042372388522
Hybrid-XGB (ECFP2048 r=2 + PhysChem),52,False,1.2487247263407724,0.9350675278125735,0.23665301946956419
Hybrid-XGB (ECFP2048 r=2 + PhysChem),53,False,1.4703588834047399,1.2409828784081174,-0.026950039273050237
Hybrid-XGB (ECFP2048 r=2 + PhysChem),54,False,1.575815855093017,1.3437769163453186,-0.13798927081569998
Hybrid-XGB (ECFP2048 r=2 + PhysChem),55,False,1.6222120818715797,1.3655707880143644,-0.06656511617418845
Hybrid-XGB (ECFP2048 r=2 + PhysChem),56,False,1.4886899855459164,1.1993577637705437,-0.12350163054129873
Hybrid-XGB (ECFP2048 r=2 + PhysChem),57,False,1.5888176668302467,1.3282645809686315,0.010400488147996278
Hybrid-XGB (ECFP2048 r=2 + PhysChem),58,False,1.4890153680820473,1.1098691609195037,-0.015632417542947884
Hybrid-XGB (ECFP2048 r=2 + PhysChem),59,False,1.3084583168774064,1.092080882488057,0.17629203285789508
Hybrid-XGB (ECFP2048 r=2 + PhysChem),60,False,1.5745215898302165,1.2498853371966279,-0.1736586849427581
Hybrid-XGB (ECFP2048 r=2 + PhysChem),61,False,1.2603060627407212,1.0162424179032348,0.2249581654612046
Hybrid-XGB (ECFP2048 r=2 + PhysChem),62,False,1.4418409692297591,1.1596372913752808,0.07360951460804936
Hybrid-XGB (ECFP2048 r=2 + PhysChem),63,False,1.4002087548985684,1.1422567796141831,-0.029134120268715664
Hybrid-XGB (ECFP2048 r=2 + PhysChem),64,False,1.3548062653095039,1.1056587640612465,0.20306969662494062
Hybrid-XGB (ECFP2048 r=2 + PhysChem),65,False,1.414803762491248,1.1475468933130948,0.06737267609076662
Hybrid-XGB (ECFP2048 r=2 + PhysChem),66,False,1.5395415663431709,1.2678968396851256,-0.1224631974506503
Hybrid-XGB (ECFP2048 r=2 + PhysChem),67,False,1.4939197860303821,1.1841625756900584,-0.005551069393686728
Hybrid-XGB (ECFP2048 r=2 + PhysChem),68,False,1.3488003122879393,1.0764523430607082,0.19933226131329887
Hybrid-XGB (ECFP2048 r=2 + PhysChem),69,False,1.7428989073272547,1.444584284281932,-0.2902363034743231
Hybrid-XGB (ECFP2048 r=2 + PhysChem),70,False,1.3597549422644104,1.0783917817551487,0.0989438690890766
